prompt,link
"Imagine upscaling to 3D, zooming the camera around, and dragging to change your angle and perspective.

Midjourney 3D is going to be wild.",https://twitter.com/nickfloats/status/1702721761790357733
Art peeked from Midjourney's Community showcase. Prompt for each image is in ALT.,https://twitter.com/0xpeepMJ/status/1703847589412499924
One day boys!! One day,https://twitter.com/CryptoGiggle/status/1702004714206847470/photo/1
Transparency is a lifestyle.,https://twitter.com/yasirbugra/status/1700901520965771396
"After Us | Ai experimental short film | 

The preliminary images were generated in Midjourney",https://twitter.com/sergeykosenkov/status/1703722487823970639
"Midjourney and caricatures?...
Well...",https://twitter.com/Psuedoliv1/status/1704079659606974762
She is trying to tell something,https://twitter.com/tsdln/status/1704029034860937308
「GothicGirl」,https://twitter.com/tsukuyomi2021/status/1704060258568589675
Is Midjourney too realistic?,https://twitter.com/AIEXODUS/status/1703962456987509021
"New week, new adventures!",https://twitter.com/asmrbirdie/status/1703830240865517709
"CONTROL THE COMPOSITION IN MIDJOURNEY WITH CAMERA ANGLES

When I need a specific composition, I often use the following tokens:

- Macro
- Close-up
- Wide Angle
- Diagonal Angle
- Aerial
- High Angle
- Low Angle
- Oblique Angle

These techniques are derived from photography and… Show more",https://twitter.com/ciguleva/status/1702556469336612909
"Good morning, everybody!

In honor of the recent rediscovery of [REDACTED], I’d love for everyone to show me some MECHS!!",https://twitter.com/matterAfactART/status/1704149814890357239
plants live in the world 2,https://twitter.com/Basil_Pepper/status/1700997521303359614
Midjourney’s /describe function has some interesting takes on our interstellar friend,https://twitter.com/AlexColomboNYC/status/1702068397578621288
Where we at today m8?,https://twitter.com/CryptoGiggle/status/1698575618886230291/photo/1
Fall landscape,https://twitter.com/sharonmawbry/status/1704037922406576288
「Stardust  Night」,https://twitter.com/tsukuyomi2021/status/1704106816060400077
You really should have paid for that train ticket.,https://twitter.com/Caelitus_/status/1702449673603060105
"The Illustrators MEGAPACK

I studied dozens of illustrators in 
(so you don't have to)

Join me on a mega ride through their styles

Share the love!
Like, Comment, Tag friends ad Retweet!",https://twitter.com/uriraveh/status/1704157833992761726
Chilling Beauty,https://twitter.com/cap_booya73/status/1704166847539552554
"""When Mother Nature and Father Time unite, Pollution and Poverty must retreat!   """,https://twitter.com/Noobster_AI/status/1703321352265167189
Spellbound,https://twitter.com/asmrbirdie/status/1701851623700811789
"""Cyber Assassins""",https://twitter.com/KIAI4RT/status/1703068717381202387
thank you midjourney,https://twitter.com/Timcast/status/1704139029883576698
"How to create endless stunning artistic images with Midjourney?

Here is a template to generate numerous unique and artistic prompts using ChatGPT, Claude, or any LLM:

""Imagine you are an expert prompt creator for a text-to-image tool that accepts prompts under 30 words.… Show more",https://twitter.com/umesh_ai/status/1704129497191395459
"& Doctor Moreau present:

The Dachshund Swan",https://twitter.com/daichshunds/status/1703581108800020501
Breaking into pieces,https://twitter.com/matifrackowiak/status/1704106816362459236
"100% AI-Generated. About to record a new tutorial about pulling maximum quality from 

. Their recent improvements have been an absolute game-changer for AI filmmakers.",https://twitter.com/CuriousRefuge/status/1702076158421225957
"Neural Art Mystic Challenge : Moonlit Dreams

In the realm where dreams and moonlight entwine, 
Let's craft art that's mystical, surreal, and divine!

Unlock the magic, let your creativity gleam,
Share your AI art inspired by Moonlit Dream !

  … Show more",https://twitter.com/NeuralArtistAi/status/1702652355437539574
"community  Twitter
  ai
 drawing  art
gm.",https://twitter.com/leesung_78/status/1704176798769238296
"A vegvísir is an Icelandic magical stave intended to help the bearer find their way through rough weather. The symbol is attested in the Huld Manuscript, collected in Iceland by Geir Vigfusson in Akureyri in 1860, and does not have any earlier attestations.  … Show more",https://twitter.com/lvntblsn/status/1704064343346675739
"Happy Monday!
Let’s start working.",https://twitter.com/lvntblsn/status/1703734578748269054
