prompt,link
"100 years of Star Wars (with Midjourney and Pika Labs)

[ douggypledger]",https://twitter.com/Rainmaker1973/status/1705298030335803528
Celebrating 100 years of Star Wars,https://twitter.com/douggypledger/status/1705180699236413538
"Hello!
It looks like it's going to be another good day, isn't it?
Let's make it a good day, shall we?
Don't you think so?
I'm going to say it again and again because I think it's important.",https://twitter.com/Savorthisunique/status/1704925033980887545/analytics
"Color schemes are super useful in Midjourney.

They can totally change how an image looks.

For instance, I made all 4 website designs below with the same prompt:

modern UI UX food website landing page design [color combination] --style raw

Only the colors differ:

1. blue and… Show more",https://twitter.com/chaseleantj/status/1705180816865972441
"Generate AI Art Courses:

Use AI to generate art, and images for social media, blogs, and logos.

4. Midjourney Basics Course:
https://youtu.be/hDK8W5SLzlw

5. Website Designing with Midjourney:
https://youtu.be/5wdCev86RYE

6. Stable Diffusion Prompting:
https://youtu.be/NU2TYgfQwcA",https://twitter.com/ihteshamit/status/1705182746287763614
"Morning, everybody!

Happy Friday! Does anyone else have any PRETTY LADIES to share?",https://twitter.com/matterAfactART/status/1705231576588501191
"I've been noticing there is a real gun problem...

in Midjourney.",https://twitter.com/NathanBoey/status/1705106318502375728
"Breaking: OpenAI just announced that their new AI image generator, DALL-E 3 will drop in October!

1. You can use it directly inside ChatGPT

2. It can create much better images of text than Midjourney

3. You can use the images commercially

Check out this video shared by",https://twitter.com/chaseleantj/status/1704664236180611575
"Some art explorations for Lunch Break by 

 – one of my fav albums of all time 

// made using midjourney & photoshop.",https://twitter.com/smeeetwt/status/1704509224095551619
"CONTROL THE COMPOSITION IN MIDJOURNEY WITH CAMERA ANGLES

When I need a specific composition, I often use the following tokens:

- Macro
- Close-up
- Wide Angle
- Diagonal Angle
- Aerial
- High Angle
- Low Angle
- Oblique Angle

These techniques are derived from photography and… Show more",https://twitter.com/ciguleva/status/1702556469336612909
"[museum day]

midjourney + lightroom",https://twitter.com/juliewdesign_/status/1704958411727601958
"I love that the iconic actress is such a One Piece fan!

I made the pics in Midjourney V5 and the edit in Photoshop",https://twitter.com/onepiecemyheart/status/1705262544930439552
"How to implement Midjourney's Zoom-Out into your workflow

ZoomOut is a feature I use in most of my images. In this post, I'll cover the different use cases in my workflow and the value it brings to improving your compositions!

 Changing Aspect Ratio:

ZoomOut is the… Show more",https://twitter.com/iamneubert/status/1704159002446209387
Reptiday Augusta is this Saturday!,https://twitter.com/Repticon/status/1704513527350759482/photo/1
"I almost overlooked that we are now at 

1700 

followers.

Thank you for your support and let's continue to have fun together.",https://twitter.com/KIAI4RT/status/1705231852431114397
"FINDING MY WAY

Midjourney -> Runway -> After Effects

1/1 for 10 Tezos",https://twitter.com/SquintDev/status/1704898980340175222
"LIGHTING IN MIDJOURNEY 

- Low-Light Photography
- Twilight Photography
- Golden Hour Photography
- Blue Hour Photography
- Studio Photography
- Daylight Photography
- Natural Light
- Neon Light

Note: As with everything related to AI, they may not work. It really depends on your… Show more",https://twitter.com/ciguleva/status/1704616084551434407
Prompt by,https://twitter.com/sharonmawbry/status/1704553943848591774
Just practising,https://twitter.com/ciguleva/status/1704677120000381316
"My favorite Midjourney mistake so far: I misspelled ""cyborg"" as ""cybord"" and immediately started seeing birds in my shots. Took a second to understand what was happening!",https://twitter.com/jamesgrote/status/1704888545305850295
5 default style,https://twitter.com/voxeloops/status/1704857111396753652
"Strong tokens in MidJourney. 

There are some tokens that carry more weight and are more influential than others. Discover these tokens and you'll be able to control the result you're looking for with fewer iterations. 

Two great tokens for photorealism are cinematic + 35mm.… Show more",https://twitter.com/prompt_mastery/status/1702658942348697961
"How to create endless stunning artistic images with Midjourney?

Here is a template to generate numerous unique and artistic prompts using ChatGPT, Claude, or any LLM:

""Imagine you are an expert prompt creator for a text-to-image tool that accepts prompts under 30 words.… Show more",https://twitter.com/umesh_ai/status/1704129497191395459
6am Morning Routine in NYC | Relaxing and Productive,https://twitter.com/GanJingWorld/status/1690702239193575424/analytics
"DALL·E 3 is a game-changer. 

The images are crazy good, and it looks like it can reliably generate high-quality images with words on them.

Midjourney has been well and truly put on notice.

Here are 10 mind-blowing examples: 

[Bookmark to refer back to later]",https://twitter.com/sebo_gm/status/1704659188960616647
I asked Midjourney to show me a meal that costs $78.,https://twitter.com/egavactip/status/1705063729606299998
"Here's why DALLE 3, once deployed, will improve at a faster rate than MidJourney:

1. Multi-turn dialogue is an excellent UI to collect human feedback. People will explain what's wrong with the generated image in free-form language, giving very fine-grained annotations for each… Show more",https://twitter.com/DrJimFan/status/1704904941784158663
GN from the Medieval Magician!,https://twitter.com/Dreamcoded56881/status/1704972405381194084
MidJourney will be releasing something significant soon,https://twitter.com/elonmusk/status/1704919985246601320
"Whitesharks

Music:",https://twitter.com/hausbomber/status/1703830665920483785
Lara and I wish a beautiful friday,https://twitter.com/cap_booya73/status/1705119195254472810
"Print On Demand has never been easier 

The hardest part is creating the designs 

But that’s not a problem anymore with Midjourney 

But you need to know the right prompts",https://twitter.com/ItsAivik/status/1704959470932029754
Good morning! Have a wonderful week ahead,https://twitter.com/cap_booya73/status/1703670312045269288
"GM from Psychedelic Squids
Reimagined in Midjourney V5",https://twitter.com/Iamshivanshsr/status/1705278320428933429
"Yesterday I shared a Midjourney prompt to generate ideas for your app interface.

But the interfaces generated usually contain lots of graphics and images - which is not always suitable.

Use this prompt instead if you want a cleaner, simpler design:

modern ios ui/ux design of a… Show more",https://twitter.com/chaseleantj/status/1704099305068601451
Lord Commander...,https://twitter.com/EhteshamHayat/status/1704236010786451817
"Cuando el robot se pone sentimental
When the robot gets sentimental",https://twitter.com/V3rtebral/status/1702394602685181969
"My Own Prison!

Created with Midjourney
Prompts in Alt",https://twitter.com/CyberneticWhiz/status/1705162413002404079
"& Doctor Moreau present:

The Dachshund Wasp",https://twitter.com/daichshunds/status/1705030875686048132
- Work is Done For the Day! Peace Out!,https://twitter.com/ai_altdims/status/1705265701513200050
Revolt against the Giant,https://twitter.com/CryptoBaggerETH/status/1704827819702833571
"PROCESS FLOW - FASHION USING MIDJOURNEY + STABLE DIFFUSION + PHOTOSHOP

I went from the starting image (left) to the finished image (right) using Midjourney, Stable Diffusion, and Photoshop! 

----------------------

STEP 1: CREATE THE IMAGE IN MIDJOURNEY
""Woman in a camo… Show more",https://twitter.com/ai_artworkgen/status/1702358871975563319
- Hi Good Looking! What's your Plans For the Weekend?,https://twitter.com/ai_altdims/status/1705190216464548019
"Hey friends, here is a Star Wars-Themed AI Movie Trailer. We hope you enjoy it! 

We created a tutorial that teaches you how to get the most cinematic shots possible from PikaLabs just like these. Check it out on our youtube channel!",https://twitter.com/CuriousRefuge/status/1704209182839250945
Futuristic Neon City,https://twitter.com/sharonmawbry/status/1702011512854913441
"Series 'The Character is in Absurd Places.'

'Sweetie, could you also bring the salt?'

 |",https://twitter.com/aest_artificial/status/1702004216754225274
"This AI battle is heating up!

DALL-E 3 is 

You probably have seen this a lot lately.

But the question is...

What about Midjourney! 

$20 vs $10 a month?

Or perhaps both?

What are your thoughts on this one?

lmk",https://twitter.com/UsmanTechJive/status/1705175618722402469
"Good Morning!  

A little experiment in  to kickstart the day.",https://twitter.com/carazanbrands/status/1704762201880293494
"Alright, I know I've kept you all waiting long enough

Creating on-brand backdrops with Midjourney: Ingredients Edition!

Here are my top 3 ingredient styles that I use on a daily basis… Show more",https://twitter.com/Salmaaboukarr/status/1704820068721283225
"Good morning colorful community 

What creation are you working on at the moment? Show me!",https://twitter.com/backto2054/status/1705128028882211155
