prompt,link
"Whitesharks

Music:",https://twitter.com/hausbomber/status/1703830665920483785
Embracing the magic of Midjourney art.,https://twitter.com/fenlandcrafts/status/1702277083966116169
One day boys!! One day,https://twitter.com/CryptoGiggle/status/1702004714206847470/photo/1
The market.,https://twitter.com/mechanicmind_ai/status/1702390589164269590
Pink kitty,https://twitter.com/LousheMinna/status/1703741231057236263
A Happy Weekend！,https://twitter.com/club_kab/status/1703388194845475233/analytics
ROBOTICA  +  + A lil photoshop.,https://twitter.com/chairmanmao74/status/1703670479742177320
Catfish Car,https://twitter.com/LousheMinna/status/1703739703936369070
"""Blue Angel, ready for take off""",https://twitter.com/KIAI4RT/status/1703662190991954257
Night Parade,https://twitter.com/MadNetDev/status/1703816195361697833
Summon,https://twitter.com/Magicianug/status/1701189672280752438
Good morning wherever in the world you are waking up,https://twitter.com/RollVeeTee/status/1703687863357825050
"Good night, have a nice rest",https://twitter.com/maxim_wcg/status/1703469561109230008
Live today at 1:30 ET! Becoming Coachable Launch Party on LinkedIn Live,https://twitter.com/coachgoldsmith/status/1703797668315910604/analytics
Curses! They are out of mayonnaise!,https://twitter.com/matterAfactART/status/1703841594258882901
Have a nice evening!,https://twitter.com/sharonmawbry/status/1701660942914707564
Blossoms Of Steel,https://twitter.com/RedsNotAnArtist/status/1703887554360009115
5 default style,https://twitter.com/voxeloops/status/1703890694753112520
"Asked Midjourney to Create DJ's dropping beats throughout history

The results are really Amazing .",https://twitter.com/The_DailyAi/status/1701982559465324862
Good morning. Have a nice day.,https://twitter.com/rin22cal51yn/status/1703535551176171842
"GM Patriots!! 

In today's news: F-35 jets don't just vanish....

That is all.",https://twitter.com/blue_eyes_0928/status/1703752246633087224
Gm! Here's another image I really like but not sure why.  I'm curious to see if anyone else likes it.,https://twitter.com/Nerbts/status/1701319585809703169
"Good night, friends",https://twitter.com/maxim_wcg/status/1703846167786787327
"Dungeon masters, would you use that map in one of your games? 

Is the Resolution high enough?
Is the perspective OK?
Is the Arstyle appropriate?
Do you prefer with or without a grid?",https://twitter.com/DMJeffChronicle/status/1703874065650389069
A preview of what's to come tomorrow.,https://twitter.com/Artedeingenio/status/1703152668179320911
"Good morning!  
Have an Adventurous Sunday!",https://twitter.com/DeRosaDesigns/status/1703403499042513296
"Goodnight , Dreaming of a new  update.",https://twitter.com/DeRosaDesigns/status/1703217615823339532
Midnight roamer,https://twitter.com/asmrbirdie/status/1703325981090644052
Embracing jungle life to the fullest. At least until the bugs come out.,https://twitter.com/Caelitus_/status/1703542679554912332
Hey gorgeous people,https://twitter.com/cap_booya73/status/1703701430178099406
"Epic Prompt Battle 

Beautiful Disaster or Hope... Finding the light and beauty when everything else is lost.

$25 prize to the winner!

Share your art below",https://twitter.com/HelloUncut/status/1701711741556515011
Demon,https://twitter.com/Magicianug/status/1700664624230940783
"I am now using 8 weeks Midjourney, this was the very first version of my avatar Kerra.

Picture 2 is a advanced version with pink hair but without niji.

In picture set 3 we are back to niji, Kerra is still based on this today.",https://twitter.com/KIAI4RT/status/1703399794197004691
"30 AI tools that can replace your team of 17 people:

1. Research

- ChatGPT
- Perplexity

2. Image

- Leap AI
- Segmind
- Midjourney

3. CopyWriting

- Rytr
- AdCopy
- Copy AI

4. Writing

- Jasper
- Writesonic
- Hemingway

5. Website

- 10Web
- Style AI

6. Video

- Klap
-… Show more",https://twitter.com/HeyAbhishekk/status/1701828782192234602
"Another ""from above VS from below"" try. ;P
This time even with camera angle changes, the details of characters are great. I like them.",https://twitter.com/posorom/status/1703960943120560306
Real men wear frocks,https://twitter.com/ViiiFf33713/status/1702294815369470348
"GM it’s Monday, how’s my beard?",https://twitter.com/denver_donkey/status/1703761084212203948
Good evening,https://twitter.com/sharonmawbry/status/1700944535646343473
Goodnight . Dreaming of an overnight release of  —v 5.3.,https://twitter.com/DeRosaDesigns/status/1702123667956634070
"""Summer rain""",https://twitter.com/KIAI4RT/status/1703686865105080534
Air Strike!,https://twitter.com/ai_altdims/status/1702417517367423176
"Midjourney is the best text-to-image generation tool.

But it has a monthly subscription fee of $20.

Here are 10 Free AI Art Generator you can't afford to miss 

[Bookmark now ]",https://twitter.com/CodeWithNayeem/status/1703726032174674353
Bangkok at sunset. View of Wat Arun from the river.,https://twitter.com/sharonmawbry/status/1703450245231775977
Confession,https://twitter.com/aiartjosie/status/1701003368565744005
When you're running out of fast hour,https://twitter.com/matifrackowiak/status/1700905470809321761
Good night. Sweet dreams.,https://twitter.com/rin22cal51yn/status/1701239018346745920
"[tranquillity]

images generated in midjourney and videos generated with",https://twitter.com/juliewdesign_/status/1702424767553585516
I already miss the summer. Good night,https://twitter.com/maxim_wcg/status/1703114023498399915
"Goodnight everyone. Wishing you amazing, fantastical dreams limited only by your own imagination.",https://twitter.com/Caelitus_/status/1703578598186045710
"I created the below image for free without Midjourney

You too can create it in less than 3- steps!",https://twitter.com/HeySumith/status/1700747279463002534
"Do You Like Horror and Mystery?

Grab these 144 Mysterious Liminal Places Midjourney Prompts

To get it:

1. RT this tweet
2. Reply 'MYSTERY'
3. Follow me 

  

Must follow or can't DM   

P.S.
Grab them while you can",https://twitter.com/ItsAivik/status/1702781915336417720
"PROMPT CHALLENGE 16 #: Jean jullien 

Prompt : [ concept  or character ], by Jean Jullien art --ar 4:5 --v 5.2

You can try —v 5.1  and raw too  

 Inviting all AI artists.",https://twitter.com/Ashokkumarpndy/status/1703110476203467220
