prompt,link
"Imagine upscaling to 3D, zooming the camera around, and dragging to change your angle and perspective.

Midjourney 3D is going to be wild.",https://twitter.com/nickfloats/status/1702721761790357733
Is Midjourney too realistic?,https://twitter.com/AIEXODUS/status/1703962456987509021
"Every morning I brainwash myself...

I listen to motivational YouTube until my hustle flip gets switched. 

Some days it takes:

- 10 Minutes
- 30 Minutes
- 60 Minutes
- 69 Minutes

Not the sexiest morning routine but I have to do it or my days suck.

What do you do in the AM to… Show more",https://twitter.com/lukematthws/status/1666410440451305473/analytics
Scout,https://twitter.com/Magicianug/status/1704261361667379502
"Let's get small and create miniature worlds 

It ain't easy being tiny, but someone has to do it. Let's imagine tiny worlds via Midjourney  

Prompt:  Micro tiny sized person next to a macro big sized [Subject], macro photography, beautiful, exaggerated perspective, dynamic… Show more",https://twitter.com/Mr_AllenT/status/1703816732677144619
"Illusions in Midjourney Tutorial:

A simple process to make Illusions in Midjourney.

Please feel free to share your image below or tag me if you try it. Would love to see what you can make.",https://twitter.com/Nerbts/status/1704263197694505292
"""The biker"" 

Love those earrings.",https://twitter.com/Tazibao22/status/1704176948631466335
"Strong tokens in MidJourney. 

There are some tokens that carry more weight and are more influential than others. Discover these tokens and you'll be able to control the result you're looking for with fewer iterations. 

Two great tokens for photorealism are cinematic + 35mm.… Show more",https://twitter.com/prompt_mastery/status/1702658942348697961
Forest Bridge...,https://twitter.com/EhteshamHayat/status/1704205173386793016
"What if remarkable architectures were built from bamboo? In this series of AI-generated images, Carlos Bañon Blazquez explores whether bamboo could be the key to a more regenerative and harmonious future. Can you name them all?

 … Show more",https://twitter.com/parametricarch/status/1701960319982067897
"100% AI-Generated. About to record a new tutorial about pulling maximum quality from 

. Their recent improvements have been an absolute game-changer for AI filmmakers.",https://twitter.com/CuriousRefuge/status/1702076158421225957
Good evening,https://twitter.com/sharonmawbry/status/1700944535646343473
A Chance Encounter...,https://twitter.com/EhteshamHayat/status/1704214929669230716
A daily workout is the best way to manage your emotions.,https://twitter.com/BappyGolder/status/1683542436461592577/analytics
"Happy Monday!
Let’s start working.",https://twitter.com/lvntblsn/status/1703734578748269054
"Hey friends, here is a Star Wars-Themed AI Movie Trailer. We hope you enjoy it! 

We created a tutorial that teaches you how to get the most cinematic shots possible from PikaLabs just like these. Check it out on our youtube channel!",https://twitter.com/CuriousRefuge/status/1704209182839250945
Lord Commander...,https://twitter.com/EhteshamHayat/status/1704236010786451817
Spellbound,https://twitter.com/asmrbirdie/status/1701851623700811789
"Last month, a graphic novel made with the help of Midjourney was released.

It became a bestseller within the month.

I interviewed the author and he shared his process - from prompting the images to marketing the book.

Gonna share it with you guys later today.

Stay tuned :)",https://twitter.com/chaseleantj/status/1701839100733686131
The Endless Painting,https://twitter.com/benjaminbardou/status/1702046853200581045
Insect aliens,https://twitter.com/AiDeiTies/status/1704276904608415767
"ChatGPT, Midjourney, and PowerPoint are in big trouble.

Gamma just unveiled it's mind-blowing generative AI.

It's the ultimate fusion of ChatGPT, Midjourney, and PowerPoint.

Here's how to use it:",https://twitter.com/hasantoxr/status/1703016405149581539
Good morning. Have a nice day.,https://twitter.com/rin22cal51yn/status/1704259823624130974
A Happy Weekend！,https://twitter.com/club_kab/status/1703388194845475233/analytics
The Matrix is real,https://twitter.com/bradlivergood/status/1700967148187689284
More candy.  This is the same (Candyland) prompt but in Niji Journey. I added realistic at the end. Also if you aren’t using the Niji bot yet you can add the —niji 5 code at the end of any Midjourney prompt.,https://twitter.com/jinx_aiart/status/1704233714345980132
Pool fun,https://twitter.com/KIAI4RT/status/1704112420598264010
This makes much more sense to me.,https://twitter.com/SwayMolina/status/1704189945164734479
"PROMPTING IN MIDJOURNEY

Recently, I participated in the competition from Hive3.
Spoiler: I didn't win, but it wasn't the goal. I challenged myself to recreate the apparel style as close to the example as possible.

Let's dive into creating the prompt step by step.",https://twitter.com/ciguleva/status/1702932652658192624
"Coffee scents, monster whispers.",https://twitter.com/koldo2k/status/1704018039644037271
"My first Midjourney image! 

I'm excited about this! Can't wait to learn more about it!",https://twitter.com/LadyWells42/status/1704253553294877031
Excuse me sir?  Which way to the food court?,https://twitter.com/beholdersai/status/1704203510193996097
"The supercomputer “will employ 10,000 Nvidia H100 GPUs and is more powerful than the world’s third highest-performing supercomputer,” noted the analyst.",https://twitter.com/barronsonline/status/1699415412486635992/analytics
Cyber Girl,https://twitter.com/ralphlentjes/status/1704064731676573725
"PROMPT CHALLENGE 15 #: Needle felted

Prompt : [ concept  or character ], [portrait] needle felted --ar 4:5 --v 5.2

You can try —v 5.2 alone 

 Inviting all AI artists.",https://twitter.com/Ashokkumarpndy/status/1701571912789573751
Does she look enchanted by him or not?  Would you be?  (ai art prompt in alt),https://twitter.com/jinx_aiart/status/1704201201124843877
plants live in the world 2,https://twitter.com/Basil_Pepper/status/1700997521303359614
"How can AI assist in customizing architectural concepts based on specific cultural, geographical, or demographic needs of a region?

PAACADEMY’s “Midjourney Architecture 4.0” workshop will focus on developing technical and practical skill sets in using AI for architecture. The… Show more",https://twitter.com/parametricarch/status/1704077191259058346
Good morning!,https://twitter.com/DeRosaDesigns/status/1701562066673324386
"CONTROL THE COMPOSITION IN MIDJOURNEY WITH CAMERA ANGLES

When I need a specific composition, I often use the following tokens:

- Macro
- Close-up
- Wide Angle
- Diagonal Angle
- Aerial
- High Angle
- Low Angle
- Oblique Angle

These techniques are derived from photography and… Show more",https://twitter.com/ciguleva/status/1702556469336612909
"GN everyone!
Circle of Sun",https://twitter.com/lvntblsn/status/1704240146051174896
"""Cyber Assassins""",https://twitter.com/KIAI4RT/status/1703068717381202387
"Jonathan Clements spent almost 20 years at The Wall Street Journal and six years at Citigroup, where he was director of financial education for the bank’s U.S. wealth management arm.",https://twitter.com/barronsonline/status/1699414541153497290/analytics
Midjourney’s /describe function has some interesting takes on our interstellar friend,https://twitter.com/AlexColomboNYC/status/1702068397578621288
"A calm coffee, a colliding cosmos.",https://twitter.com/koldo2k/status/1701499759419117936
prompt: ALT,https://twitter.com/RichBros2/status/1703807593599090815
Boys in bathrooms,https://twitter.com/ViiiFf33713/status/1704012318260990345
Cursed Girl,https://twitter.com/MadNetDev/status/1703997347384955125
Fall landscape,https://twitter.com/sharonmawbry/status/1704037922406576288
Winged whispers during a coffee break.,https://twitter.com/koldo2k/status/1702215059978522880
Good night!  May your dreams be as colorful and vibrant as your art.,https://twitter.com/beholdersai/status/1704305031850147981
"The adventure starts here! 
The 𝗦𝘁𝗼𝗿𝗺𝗞𝗶𝗻𝗴® Edition Tobacco Captain Boot.",https://twitter.com/ThursdayBootCo/status/1666877753633669151/analytics
"5 default style      

https://instagram.com/p/CxY0huUySRR/?igshid=MTVlNTYxMjY2ZQ==…",https://twitter.com/voxeloops/status/1704240624348922138
At least the aliens back home know what happened to their missing brethren now. What do you think? Real or elaborate stunt?,https://twitter.com/DadHatLabs/status/1702163263151079901
